id,NAME,Address,District,Test Type,FullAddres,Lab Type,Latitude,Longitude
7,State Public Health Laboratory,"State Public Health Laboratory, Trivandrum",Thiruvanathapuram,RT-PCR,,Govt Lab,8.4982773,76.937278
7,,Al Salama Diagnostic Centre  Thalakkadathur  Tirur (P) 161. Dept of Lab Medicine,Malappuram,XPERT,Al Salama Diagnostic Centre,Private Lab,10.9368874,75.936534
8,Baby Memorial Hospital Ltd,Baby Memorial Hospital Ltd  I G Road  Arayadathupalam  Kozhikode,Kozhikode,TRUENAT,,Private Lab,11.2785960,75.805073
8,Inter University,"Inter University, Kottayam",Kottayam,RT-PCR,,Govt Lab,9.5760936,76.579550
8,Neuberg Diagnostics Private Limited,Thombra Arcade,Ernakulam,RT-PCR,,Private Lab,9.9951380,76.291924
8,New Microlab Laboratories,New Microlab Laboratories Opp Govt Girls H.S  Althara Junction Chengannur,Alappuzha,ANTIGEN,New Microlab Laboratories Opp Govt Girls H.S  Althara Junction Chengannur  Alappuzha,Private Lab,9.2702020,76.584263
8,,Lakeshore Hospital & Research Centre Ltd  NH-66  Bypass Ernakulam,Ernakulam,XPERT,Lakeshore Hospital & Research Centre Ltd,Private Lab,9.9191078,76.318952
9,Doctors Diagnostic Clinic,Doctors Diagnostic Clinic  kumbalath Building  Haripad  Kerala,Alappuzha,ANTIGEN,Doctors Diagnostic Clinic  kumbalath Building  Haripad  Kerala  Alappuzha,Private Lab,9.9506100,76.331452
9,EMS Memorial Co-operative Hospital & Research Centre Ltd,EMS Memorial Co-operative Hospital & Research Centre Ltd  Panambi  P.O. Perinthalmanna  Mallappuram,Malappuram,TRUENAT,,Private Lab,10.9761710,76.255412
9,JEEVA SPECIALTY LABORATORY,Thrissur,Thrissur,RT-PCR,,Private Lab,10.6153040,76.193996
9,Malabar Cancer Center,"Malabar Cancer Center, Thalassery",Kannur,RT-PCR,,Govt Lab,11.7024960,75.608858
9,,PRS Hospital Pvt Ltd  Killipalam  Trivandrum,Thiruvananthapuram,XPERT,PRS Hospital Pvt Ltd,Private Lab,8.5896990,77.045034
10,Believers Church Medical College,Believers Church Medical College  Thiruvalla,Pathanamthitta,TRUENAT,,Private Lab,9.4165750,76.575368
10,Central University of Kerala,"Central University of Kerala, Periye, Kasaragod",Kasaragod,RT-PCR,,Govt Lab,12.3929900,75.093385
10,MES Medical College,Perinthalmanna,Malappuram,RT-PCR,,Private Lab,10.9573860,76.175648
10,STM Lab,STM Lab  Vandanam  Alappuzha,Alappuzha,ANTIGEN,STM Lab  Vandanam  Alappuzha  Alappuzha,Private Lab,9.6841060,76.338066
10,,Caritas Hospital  Thellakam p o  Kottayam,Kottayam,XPERT,Caritas Hospital,Private Lab,9.8829130,76.573456
11,Aswini Diagnostic Services,Chinthavalappu Junction Jail Road,Kozhikode,RT-PCR,,Private Lab,11.2785960,75.805073
11,Government Medical College,"Government Medical College, Ernakulum",Ernakulum,RT-PCR,,Govt Lab,10.0523896,76.353387
11,HUDA TRUST HOSPITAL,HUDA TRUST HOSPITAL  KUMARAPURAM P.O  HARIPAD  Alappuzha,Alappuzha,ANTIGEN,HUDA TRUST HOSPITAL  KUMARAPURAM P.O  HARIPAD  Alappuzha  Alappuzha,Private Lab,9.4521730,76.415145
11,KIMS,KIMS  Trivandrum,Thiruvananthapuram,TRUENAT,,Private Lab,8.5136570,76.909322
11,,Dr. Lal PathLabs Ltd  Opp College Ground M.G. Road  Ernakulam,Ernakulam,XPERT,Dr. Lal PathLabs Ltd,Private Lab,9.8548110,76.526625
12,Dianova Laboratories,Thevara Buildings Near Federal Bank Gandhi Nagar,Kottayam,RT-PCR,,Private Lab,9.6297780,76.775440
12,Government  Medical College,"Government  Medical College, Manjeri",Malappuram,RT-PCR,,Govt Lab,11.1177700,76.122223
12,NIMS,NIMS  Trivandrum,Thiruvananthapuram,TRUENAT,,Private Lab,8.4133638,77.066026
12,Sahrudaya Hospital,Sahrudaya Hospital  Thathampally P.O  Alappuzha,Alappuzha,ANTIGEN,Sahrudaya Hospital  Thathampally P.O  Alappuzha  Alappuzha,Private Lab,9.5053603,76.341865
12,,KIMS Hospital  Thiruvananthapuram,Thiruvananthapuram,XPERT,KIMS Hospital,Private Lab,8.5136570,76.909322
13,DDRCSRL Diagnostics PVT LTD,Mridunga Tower Pattoor road,Thiruvananthapuram,RT-PCR,,Private Lab,8.4993890,76.943500
13,Ebenezer Hospital,Ebenezer Hospital  Kayamkulam  Alappuzha,Alappuzha,ANTIGEN,Ebenezer Hospital  Kayamkulam  Alappuzha  Alappuzha,Private Lab,9.1735507,76.499703
13,Government  Medical College,"Government  Medical College, Kottayam",Kottayam,RT-PCR,,Govt Lab,9.6328890,76.520375
13,R cell diagnostics,R cell diagnostics  Kozhikode,Kozhikode,TRUENAT,,Private Lab,11.2785960,75.805073
13,,ASTER MIMS  Chala East  Kannur,Kannur,XPERT,ASTER MIMS,Private Lab,11.8391384,75.429997
14,Government Medical College,"Government Medical College, Kannur",Kannur,RT-PCR,,Govt Lab,12.0712550,75.293405
14,Iqraa International Hospital & Research Centre,Iqraa International Hospital & Research Centre  Kozhikode,Kozhikode,TRUENAT,,Private Lab,11.2862630,75.797818
14,Lourdes Matha Hospital,Lourdes Matha Hospital  Pacha  Alappuzha,Alappuzha,ANTIGEN,Lourdes Matha Hospital  Pacha  Alappuzha  Alappuzha,Private Lab,9.4659430,76.331265
14,Micro Health Laboratories,ZEN Building R.S No. 21 Building No. 29/2254 - A A1 A2  Kavu Stop Thondayad,Kozhikode,RT-PCR,,Private Lab,11.2665440,75.816742
14,,Metro Scans and Laboratories  Sreekaryam,Thiruvananthapuram,XPERT,Metro Scans and Laboratories,Private Lab,8.5485280,76.918636
15,Amala Institute of Medical Sciences,Amala Nagar,Thrissur,RT-PCR,,Private Lab,10.5616383,76.166848
15,Indian Institute of Science Education and Research (IISER),"Indian Institute of Science Education and Research (IISER), Thiruvanathapuram",Thiruvanathapuram,RT-PCR,,Govt Lab,8.6829153,77.136645
15,Lifeline supersepciality Hospital,Lifeline supersepciality Hospital  Adoor,Kollam,TRUENAT,,Private Lab,9.1634609,76.704137
15,Midas Scan and laboratory,Midas Scan and laboratory  General Hospital Junction  Alappuzha,Alappuzha,ANTIGEN,Midas Scan and laboratory  General Hospital Junction  Alappuzha  Alappuzha,Private Lab,9.6829440,76.339556
15,,Metro Scans  Sreekaryam   Thiruvananthapuram,Thiruvananthapuram,XPERT,Metro Scans,Private Lab,8.5485280,76.918636
16,Almas Hospital,Almas Hospital  Kottakkal   Malappuram,Malappuram,TRUENAT,,Private Lab,10.9998964,75.990818
16,Government Medical College,"Government Medical College, Palakkad",Palakkad,RT-PCR,,Govt Lab,10.7512880,76.664826
16,NIMS Medicity Department of Laboratory Medicine,Aralumoodu Neyyattinkara,Thiruvananthapuram,RT-PCR,,Private Lab,8.6915810,76.819351
16,,Caritas  Kotayam,Kottayam,XPERT,Caritas,Private Lab,9.5882530,76.529574
17,Chethana Janakeeya Lab,Chethana Janakeeya Lab  TDMC P O  Alappuzha,Alappuzha,ANTIGEN,Chethana Janakeeya Lab  TDMC P O  Alappuzha  Alappuzha,Private Lab,9.6302280,76.313945
17,HYGEA MED LABORATORIES,29/488-3 AADITHYA ARCADE NEAR VIVEKODAYAM SCHOOL KUNNATHU MANA LANE,Thrissur,RT-PCR,,Private Lab,10.5304320,76.211689
17,Lourdes Hospital,Lourdes Hospital  Ernakulam,Ernakulam,TRUENAT,,Private Lab,10.0066815,76.277386
17,,Neuberg Diagnostics Private Limited  Thombra Arcade  Ernakulam,Ernakulam,XPERT,Neuberg Diagnostics Private Limited,Private Lab,9.9951517,76.289734
18,Amala Medical  College,Amala Medical  College  Thrissur,Thrissur,TRUENAT,,Private Lab,10.5616383,76.166848
18,Biovision India Specialty Diagnostic Centre,Biovision India Specialty Diagnostic Centre  Thazhakkara  Mavelikkara,Alappuzha,ANTIGEN,Biovision India Specialty Diagnostic Centre  Thazhakkara  Mavelikkara,Private Lab,9.2545450,76.551533
18,Government Medical College Hospital,"Government Medical College Hospital, Kollam",Kollam,TRUENAT,,Govt Lab,8.8116350,76.749936
18,R-Cell Diagnostics & Research Centre,27/97 E FCC Building Arayidathupalam,Kozhikode,RT-PCR,,Private Lab,11.2589020,75.794255
18,,PRS Hospital,Thiruvananthapuram,XPERT,PRS Hospital,Private Lab,8.4811163,76.959229
19,Believers Church Medical College,St. Thomas Nagar  27/97 E FCC Building Arayidathupalam,Pathanamthitta,RT-PCR,,Private Lab,9.2688490,76.782067
19,Central Laboratories,Central Laboratories  A Unit of Diachem Healthcare Private Limited  Bund Road Kanjany  Thrissur,Thrissur,TRUENAT,,Private Lab,10.4493880,76.269133
19,Government TD Medical College,"Government TD Medical College, Alappuzha",Alappuzha,TRUENAT,,Govt Lab,9.4081227,76.345232
19,Mahajubilee Memorial Hospital,Mahajubilee Memorial Hospital  Edathua,Alappuzha,ANTIGEN,Mahajubilee Memorial Hospital  Edathua  Alappuzha,Private Lab,9.3198540,76.611486
20,District Public Health Laboratory,"District Public Health Laboratory, Wayanad",Wayanad,TRUENAT,,Govt Lab,11.8006107,75.999754
20,KMCT Medical College,KMCT Medical College  Kozhikode,Kozhikode,TRUENAT,,Private Lab,11.3258412,75.970174
20,KMCT Medical College Hospital,Manassery,Kozhikode,RT-PCR,,Private Lab,11.3258412,75.970174
20,St. Sebastians Visitisation Hospital,St. Sebastians Visitisation Hospital  Arthunkal  Cherthala,Alappuzha,ANTIGEN,St. Sebastians Visitisation Hospital  Arthunkal  Cherthala  Alappuzha,Private Lab,9.6462770,76.304340
21,District TB Centre,"District TB Centre, Palakkad",Palakkad,TRUENAT,,Govt Lab,10.7597040,76.658532
21,Kozhikode District  Co-operative Hospital,Kozhikode District  Co-operative Hospital  Kozhikode,Kozhikode,TRUENAT,,Private Lab,11.2769102,75.784491
21,PK Das Institute of Medical Sciences,Vaniamkulam Ottapalam,Palakkad,RT-PCR,,Private Lab,10.7851120,76.325826
21,Sanjivani Multispecialty Hospital,Sanjivani Multispecialty Hospital  situated in Kollakadavu  Chengannur  Alappuzha,Alappuzha,ANTIGEN,Sanjivani Multispecialty Hospital  situated in Kollakadavu  Chengannur  Alappuzha  Alappuzha,Private Lab,9.2592240,76.596170
22,Avitis Super Specialty Hospitals Pvt Ltd,Thrissur-Pollachi Main Road Nemmara,Palakkad,RT-PCR,,Private Lab,10.5935600,76.596400
22,INHS Sanjivani,"INHS Sanjivani, Kochi",Ernakulam,TRUENAT,,Govt Lab,9.9468464,76.280474
22,Janata Diagnostics,Janata Diagnostics  Tirurangadi  Malappuram,Malappuram,TRUENAT,,Private Lab,11.0431003,75.913176
22,Sree Narayana Medical Mission Hospital,Sree Narayana Medical Mission Hospital  Cherthala  Alappuzha,Alappuzha,ANTIGEN,Sree Narayana Medical Mission Hospital  Cherthala  Alappuzha  Alappuzha,Private Lab,9.6744309,76.341348
23,Devi Scans Pvt Ltd,Kumarapuram,Thiruvananthapuram,RT-PCR,,Private Lab,8.5160760,76.927340
23,District Public Health Laboratory,"District Public Health Laboratory, Kollam",Kollam,TRUENAT,,Govt Lab,8.8878333,76.583438
23,KERALA DIAGNOSTIC CENTRE,KERALA DIAGNOSTIC CENTRE  KOSIA BUILDING  OPP:RAIBAN THEATRE  GENERAL HOSPITAL JUNCTION  ALAPPUZHA,Alappuzha,ANTIGEN,KERALA DIAGNOSTIC CENTRE  KOSIA BUILDING  OPP:RAIBAN THEATRE  GENERAL HOSPITAL JUNCTION  ALAPPUZHA  Alappuzha,Private Lab,9.4701250,76.337986
23,Lakshmi Hospital,Lakshmi Hospital  Diwans Road  Ernakulam,Ernakulam,TRUENAT,,Private Lab,9.9663657,76.283693
24,Government Medical College,"Government Medical College, Idukki",Idukki,TRUENAT,,Govt Lab,9.8484000,76.960778
24,NS Memorial Institute of Medical Sciences,NS Memorial Institute of Medical Sciences  Palathara  Thattamala P.O Kollam,Kollam,TRUENAT,,Private Lab,8.8688010,76.643791
24,POOCHAKKAL MEDICAL CENTRE,POOCHAKKAL MEDICAL CENTRE  POOCHAKKAL P O  CHERTHALA  ALAPPUZHA,Alappuzha,ANTIGEN,POOCHAKKAL MEDICAL CENTRE  POOCHAKKAL P O  CHERTHALA  ALAPPUZHA  Alappuzha,Private Lab,9.1764410,76.568905
24,Sree Gokulam Medical College & Research Foundation,Venjaramoodu,Thiruvananthapuram,RT-PCR,,Private Lab,8.6916940,76.914074
25,District Hospital Palakkad,District Hospital Palakkad,Palakkad,TRUENAT,,Govt Lab,10.7691989,76.651247
25,DM Wayanad Institute of medical Sciences,Naseera Nagar Meppadi PO,Thiruvananthapuram,RT-PCR,,Private Lab,8.5135970,76.909476
25,KCM Hospital,KCM Hospital  LS PO  Nooranad  Alappuzha,Alappuzha,ANTIGEN,KCM Hospital  LS PO  Nooranad  Alappuzha,Private Lab,9.1753250,76.624519
25,Neethi Lab,Neethi Lab  Thettammal Building  Near Government Hospital  Tirur  Malappuram,Malappuram,TRUENAT,,Private Lab,10.9121880,75.922754
26,District TB Centre,"District TB Centre, Kottayam",Kottayam,CB NAAT,,Govt Lab,9.5911980,76.526674
26,Malankara Orthodox Syrian Church Medical College,Kolenchery,Thiruvananthapuram,RT-PCR,,Private Lab,9.9818960,76.476360
26,MDC SCANS AND LABORATORY,MDC SCANS AND LABORATORY  PAMPPORETH TOWER  PAZHAYA ROAD MEDICAL COLLEGE P O  THIRUVANANTHAPURAM,Thiruvananthapuram,TRUENAT,,Private Lab,8.5090970,76.929562
26,St Thomas Mission Hospital,St Thomas Mission Hospital  Pallickal Po  Kattanam  Alappuzha,Alappuzha,ANTIGEN,St Thomas Mission Hospital  Pallickal Po  Kattanam  Alappuzha  Alappuzha,Private Lab,9.1688260,76.581544
27,ASTER KOCHI,ASTER KOCHI,Ernakulam,ANTIGEN,ASTER KOCHI  Ernakulam,Private Lab,10.0329503,76.276686
27,Korambayil Hospital and Diagnostic Centre,Korambayil Hospital and Diagnostic Centre  Manjeri,Malappuram,TRUENAT,,Private Lab,10.9750100,76.232619
27,Regional Cancer Centre,"Regional Cancer Centre, Thiruvananthapuram",Thiruvanathapuram,CB NAAT,,Govt Lab,8.5207800,76.925193
28,Lakeshore Hospital,Lakeshore Hospital  Ernakulam,Ernakulam,ANTIGEN,Lakeshore Hospital  Ernakulam  Ernakulam,Private Lab,9.9179841,76.317465
28,Micro Health Laboratories,Micro Health Laboratories  MP Tower  Next to Lavanya Plaza  Near Taluk Hospital  Thamarassery  Kozhikode,Kozhikode,TRUENAT,,Private Lab,11.4119860,75.936380
29,AIMS Kochi,AIMS Kochi,Ernakulam,ANTIGEN,AIMS Kochi  Ernakulam,Private Lab,9.9562970,76.332486
29,Jubilee Memorial Hospital,Jubilee Memorial Hospital  Meads Lane  Palayam  Thiruvananthapuram,Thiruvananthapuram,TRUENAT,,Private Lab,8.5018901,76.952123
30,Hi-tech Diagnostic Centre,Hi-tech Diagnostic Centre  1st Floor KTM Bike Showroom  Janatha Stop  Sahodaran Ayyappan Road   Vyttila  Kochi,Ernakulam,TRUENAT,,Private Lab,9.9562970,76.332486
30,Rajagiri Hospital Aluva,Rajagiri Hospital Aluva,Ernakulam,ANTIGEN,Rajagiri Hospital Aluva  Ernakulam,Private Lab,10.0877391,76.388243
31,Daya General Hospital Limited,Daya General Hospital Limited  Shornur Road  Thrissur,Thrissur,TRUENAT,,Private Lab,10.4493880,76.269133
31,DDRC,DDRC  Kochi,Ernakulam,ANTIGEN,DDRC  Kochi  Ernakulam,Private Lab,9.9220467,76.273544
32,Jeeva Specialty Lab (A Hi Tech Diagnostic Institute),Jeeva Specialty Lab (A Hi Tech Diagnostic Institute)  4th Floor  Academic Block  Jubilee Mission Medical College and RI  Thrissur,Thrissur,TRUENAT,,Private Lab,10.6149000,76.194071
32,Vijaya Kumara Menon Hospital,Vijaya Kumara Menon Hospital  Ernakulam,Ernakulam,ANTIGEN,Vijaya Kumara Menon Hospital  Ernakulam  Ernakulam,Private Lab,9.9527732,76.340715
33,KDC Lab Kanhangad,KDC Lab Kanhangad  Mishal Towers  Opp. Little flower G.H.S School  Puthiyakotta  Kanhangad  Kasaragod,Kasaragod,TRUENAT,,Private Lab,12.3091533,75.092463
33,Medical Trust Hospital,Medical Trust Hospital  Ernakulam,Ernakulam,ANTIGEN,Medical Trust Hospital  Ernakulam  Ernakulam,Private Lab,10.1152829,76.200567
34,POLAKULATH NARAYANAN RENAI MEDICITY,POLAKULATH NARAYANAN RENAI MEDICITY  Kochi,Ernakulam,ANTIGEN,POLAKULATH NARAYANAN RENAI MEDICITY  Kochi,Private Lab,10.0077444,76.303311
34,St Gregorios Medical Mission Hospital,St Gregorios Medical Mission Hospital  Parumala  Pathanamthitta,Pathanamthitta,TRUENAT,,Private Lab,9.3939100,76.578686
35,CIMAR Cochin Hospitals,CIMAR Cochin Hospitals  Ernakulam,Ernakulam,ANTIGEN,CIMAR Cochin Hospitals  Ernakulam  Ernakulam,Private Lab,10.0515389,76.296743
35,Western Hospital & Nursing Home,Western Hospital & Nursing Home  Nadakkavu  Kozhikode,Kozhikode,TRUENAT,,Private Lab,9.9922871,76.585109
36,MOSC Medical College,MOSC Medical College  First Floor  Department of Microbiology  College Block  Medical College Road P.O. Kolenchery  Kochi,Ernakulam,TRUENAT,,Private Lab,10.0480270,76.354024
36,SREE SUDHEENDRA MEDICAL MISSION ERNAKULAM,SREE SUDHEENDRA MEDICAL MISSION ERNAKULAM,Ernakulam,ANTIGEN,SREE SUDHEENDRA MEDICAL MISSION ERNAKULAM  Ernakulam,Private Lab,9.9849328,76.283296
37,Alpha ENT head&neck Research Institute,Alpha ENT head&neck Research Institute  Ernakulam,Ernakulam,ANTIGEN,Alpha ENT head&neck Research Institute  Ernakulam  Ernakulam,Private Lab,10.0032624,76.295379
37,Nirmala Hospital,Nirmala Hospital  Dept. of Molecular Biology  Kozhikode (P),Kozhikode,TRUENAT,,Private Lab,11.2918040,75.824588
38,Mar Baselios Medical Mission Hospital Kothamangalam,Mar Baselios Medical Mission Hospital Kothamangalam,Ernakulam,ANTIGEN,Mar Baselios Medical Mission Hospital Kothamangalam  Ernakulam,Private Lab,10.0645781,76.622395
38,MBH Hospital LLP,MBH Hospital LLP  Malappuram,Malappuram,TRUENAT,,Private Lab,11.0540914,76.081057
39,Little Flower Hospital & Research Centre,Little Flower Hospital & Research Centre  Angamaly,Ernakulam,ANTIGEN,Little Flower Hospital & Research Centre  Angamaly  Ernakulam,Private Lab,10.1910662,76.387433
39,Paalana Institute of Medical Sciences,Paalana Institute of Medical Sciences  Kannadi PO  Palakkad (P),Palakkad,TRUENAT,,Private Lab,10.7383990,76.651172
40,Dr. Scan Diagnostic Centre,Dr. Scan Diagnostic Centre  Opposite Soubhaghya Appartments  Near Arayidathupalam  Mavoor road  Kozhikode (P),Kozhikode,TRUENAT,,Private Lab,11.1267180,75.958626
40,St Joseph Hospital,St Joseph Hospital  Dharmagiri  Ernakulam,Ernakulam,ANTIGEN,St Joseph Hospital  Dharmagiri  Ernakulam  Ernakulam,Private Lab,10.0601910,76.301414
41,Ahalia Central Laboratory,Ahalia Central Laboratory  A Unit of Ahalia International Foundation  Ahalia Campus  Kozhipara  Palakkad (P),Palakkad,TRUENAT,,Private Lab,10.7944290,76.826887
41,Sabine Hospital & Research Centre Pvt Ltd,Sabine Hospital & Research Centre Pvt Ltd  Pezhakkappilly P.O  Muvattupuzha  Ernakulam,Ernakulam,ANTIGEN,Sabine Hospital & Research Centre Pvt Ltd  Pezhakkappilly P.O  Muvattupuzha  Ernakulam  Ernakulam,Private Lab,10.0141243,76.567870
42,Gimcare Hospital,Gimcare Hospital  A Unit of Genesis Institute of Medical Science Pvt Ltd.  Chala bypass  Kannur,Kannur,TRUENAT,,Private Lab,11.8629460,75.358829
42,Microlab Speciality Health Care Services,Microlab Speciality Health Care Services  Kozhenchery,Ernakulam,ANTIGEN,Microlab Speciality Health Care Services  Kozhenchery  Ernakulam,Private Lab,10.0877000,76.388793
43,E.S.I.C. Hospital,E.S.I.C. Hospital  Udyogmandal  Ernakulam,Ernakulam,ANTIGEN,E.S.I.C. Hospital  Udyogmandal  Ernakulam  Ernakulam,Private Lab,10.0778150,76.317793
44,Samaritan Hospital,Samaritan Hospital  Pazhanganad  Ernakulam,Ernakulam,ANTIGEN,Samaritan Hospital  Pazhanganad  Ernakulam  Ernakulam,Private Lab,10.0438220,76.396719
45,Sanjoe Hospital,Sanjoe Hospital  A M Road Perumbavoor  Ernakulam,Ernakulam,ANTIGEN,Sanjoe Hospital  A M Road Perumbavoor  Ernakulam  Ernakulam,Private Lab,10.1787070,76.445404
46,St Joseph hospital trust,St Joseph hospital trust  Manjummel  Ernakulam,Ernakulam,ANTIGEN,St Joseph hospital trust  Manjummel  Ernakulam  Ernakulam,Private Lab,9.9888190,76.577693
47,Lisie Hospital,Lisie Hospital  Ernakulam,Ernakulam,ANTIGEN,Lisie Hospital  Ernakulam  Ernakulam,Private Lab,9.9893717,76.288988
48,Carmel Hospital,Carmel Hospital  Asokapuram  Aluva,Ernakulam,ANTIGEN,Carmel Hospital  Asokapuram  Aluva  Ernakulam,Private Lab,10.0905570,76.362071
49,P S Mission Hospital Maradu,P S Mission Hospital Maradu,Ernakulam,ANTIGEN,P S Mission Hospital Maradu  Ernakulam,Private Lab,9.9377796,76.322716
50,MAGJ,MAGJ  Hospital  Mookkannoor  Angamaly,Ernakulam,ANTIGEN,MAGJ  Hospital  Mookkannoor  Angamaly  Ernakulam,Private Lab,10.2209840,76.413623
51,Sunrise Hospital,Sunrise Hospital Seaport-Airport Road  Mavelipuram  Kakkanad,Ernakulam,ANTIGEN,Sunrise Hospital Seaport-Airport Road  Mavelipuram  Kakkanad  Ernakulam,Private Lab,10.0252320,76.338880
52,Kinder Multispeciality Hospital,Kinder Multispeciality Hospital Kochi,Ernakulam,ANTIGEN,Kinder Multispeciality Hospital Kochi  Ernakulam,Private Lab,10.0381550,76.315859
53,Indira Gandhi Co-operative Hospital,Indira Gandhi Co-operative Hospital  Kadavanthra  Ernakulam,Ernakulam,ANTIGEN,Indira Gandhi Co-operative Hospital  Kadavanthra  Ernakulam  Ernakulam,Private Lab,9.9688950,76.298569
